Timestamp,Action,Index,Sell_CE,Sell_PE,Buy_CE,Buy_PE,Net_Premium,PnL,Notes
2026-04-09 09:40:01,ENTRY,SENSEX,277.35,252.6,12.8,12.85,504.3,0.0,Local Paper Trade (Simulated)
2026-04-09 10:14:38,EXIT,SENSEX,187.5,383.7,0,31.55,539.65,-707.0,Local Paper Trade Closed
2026-04-09 10:30:00,ENTRY,SENSEX,271.1,253.55,14.7,13.95,496.0,0.0,Local Paper Trade (Simulated)
2026-04-09 10:35:56,EXIT,SENSEX,308.05,201.8,0,11.05,498.8,-56.0,Local Paper Trade Closed
2026-04-09 10:36:56,ENTRY,SENSEX,272.5,244.3,13.4,13.45,489.95,0.0,Local Paper Trade (Simulated)
2026-04-09 10:37:27,EXIT,SENSEX,281.95,228.5,0,12.5,497.95,-160.0,Local Paper Trade Closed
2026-04-09 10:38:28,ENTRY,SENSEX,254.6,252.65,12.25,13.85,481.15,0.0,Local Paper Trade (Simulated)
2026-04-09 10:44:44,EXIT,SENSEX,195.4,306.45,10.25,0,491.6,-209.0,Local Paper Trade Closed
2026-04-09 10:45:45,ENTRY,SENSEX,256.25,238.1,13.4,12.25,468.7,0.0,Local Paper Trade (Simulated)
2026-04-09 10:56:36,EXIT,SENSEX,298.05,182.2,0,0,480.25,-231.0,Local Paper Trade Closed
2026-04-09 10:57:37,ENTRY,SENSEX,226.0,240.5,10.55,11.1,444.85,0.0,Local Paper Trade (Simulated)
2026-04-09 11:08:51,EXIT,SENSEX,261.15,194.85,0,9.1,446.9,-41.0,Local Paper Trade Closed
2026-04-09 11:09:52,ENTRY,SENSEX,218.85,235.6,11.4,10.75,432.3,0.0,Local Paper Trade (Simulated)
2026-04-09 11:17:56,EXIT,SENSEX,177.75,282.85,9.45,0,451.15,-377.0,Local Paper Trade Closed
2026-04-09 11:18:57,ENTRY,SENSEX,215.1,233.7,11.4,10.95,426.45,0.0,Local Paper Trade (Simulated)
2026-04-09 11:31:12,EXIT,SENSEX,280.95,160.45,0,0,441.4,-299.0,Local Paper Trade Closed
2026-04-09 11:32:13,ENTRY,SENSEX,210.0,216.6,10.15,11.35,405.1,0.0,Local Paper Trade (Simulated)
2026-04-09 11:55:35,EXIT,SENSEX,252.7,167.15,0,0,419.85,-295.0,Local Paper Trade Closed
2026-04-09 11:56:36,ENTRY,SENSEX,200.3,211.25,10.15,11.4,390.0,0.0,Local Paper Trade (Simulated)
2026-04-09 12:03:00,EXIT,SENSEX,177.0,225.75,9.85,0,392.9,-58.0,Local Paper Trade Closed
2026-04-09 12:04:00,EXIT,UNKNOWN,0,0,0,0,0.0,0.0,Emergency Square Off
2026-04-09 12:04:02,ENTRY,NIFTY,195.6,197.9,10.6,9.9,373.0,0.0,Local Paper Trade (Simulated)
2026-04-09 12:48:10,EXIT,NIFTY,164.8,239.05,9.75,0,394.1,-1582.5,Local Paper Trade Closed
2026-04-09 12:49:11,ENTRY,NIFTY,213.1,193.0,11.25,9.85,385.0,0.0,Local Paper Trade (Simulated)
2026-04-09 14:31:31,EXIT,NIFTY,159.5,248.0,7.85,0,399.65,-1098.75,Local Paper Trade Closed
2026-04-09 14:32:32,ENTRY,NIFTY,209.3,201.3,10.2,10.25,390.15,0.0,Local Paper Trade (Simulated)
2026-04-09 15:01:45,EXIT,NIFTY,240.35,159.0,0,7.05,392.3,-161.25,Local Paper Trade Closed
2026-04-09 15:02:46,ENTRY,NIFTY,195.5,193.15,9.4,9.3,369.95,0.0,Local Paper Trade (Simulated)
2026-04-13 09:28:00,ENTRY,NIFTY,80.65,85.9,4.5,4.25,157.8,0.0,Local Paper Trade (Simulated)
2026-04-13 10:29:30,EXIT,NIFTY,145.25,30.35,9.25,1.7,164.65,-445.25,Local Paper Trade Closed
2026-04-13 11:17:01,ENTRY,NIFTY,58.8,69.4,2.9,3.4,121.9,0.0,Local Paper Trade (Simulated)
2026-04-13 11:50:35,EXIT,NIFTY,85.5,42.6,4.65,2.5,120.95,61.75,Local Paper Trade Closed
2026-04-13 11:51:37,ENTRY,NIFTY,59.5,67.6,2.75,3.35,121.0,0.0,Local Paper Trade (Simulated)
2026-04-13 12:30:00,EXIT,NIFTY,79.8,39.5,3.5,2.4,113.4,494.0,Local Paper Trade Closed
2026-04-13 12:31:03,ENTRY,SENSEX,748.75,725.6,36.5,37.2,1400.65,0.0,Local Paper Trade (Simulated)
2026-04-15 10:23:02,EXIT,UNKNOWN,0,0,0,0,0.0,0.0,Emergency Square Off
2026-04-15 10:28:01,ENTRY,NIFTY,239.45,211.0,11.05,10.75,428.65,0.0,Local Paper Trade (Simulated)
2026-04-15 10:33:27,EXIT,UNKNOWN,0,0,0,0,0.0,0.0,Emergency Square Off
2026-04-15 10:34:30,ENTRY,NIFTY,238.95,210.55,11.0,10.8,427.7,0.0,Local Paper Trade (Simulated)
2026-04-15 10:40:28,EXIT,UNKNOWN,0,0,0,0,0.0,0.0,Emergency Square Off
2026-04-15 10:48:01,ENTRY,SENSEX,364.25,376.75,19.0,18.45,703.55,0.0,Local Paper Trade (Simulated)
2026-04-15 10:48:03,EXIT,UNKNOWN,0,0,0,0,0.0,0.0,Emergency Square Off
2026-04-15 10:49:05,ENTRY,SENSEX,368.45,371.3,19.25,18.15,702.35,0.0,Local Paper Trade (Simulated)
2026-04-15 11:15:07,EXIT,SENSEX,264.5,530.95,15.45,20.85,759.15,-1136.0,Local Paper Trade Closed
2026-04-15 11:16:09,ENTRY,SENSEX,417.25,342.8,21.15,17.9,721.0,0.0,Local Paper Trade (Simulated)
2026-04-15 14:12:34,EXIT,SENSEX,483.0,240.1,18.45,14.3,690.35,613.0,Local Paper Trade Closed
2026-04-15 14:13:37,ENTRY,SENSEX,350.2,328.0,18.5,15.75,643.95,0.0,Local Paper Trade (Simulated)
2026-04-16 09:51:02,EXIT,SENSEX,431.8,72.5,5.8,2.2,496.3,2953.0,Local Paper Trade Closed
2026-04-16 10:00:01,ENTRY,SENSEX,183.35,225.75,8.75,11.15,389.2,0.0,Local Paper Trade (Simulated)
2026-04-16 10:24:26,EXIT,SENSEX,221.0,144.35,8.25,6.95,350.15,781.0,Local Paper Trade Closed
2026-04-16 10:25:28,ENTRY,SENSEX,171.65,185.7,8.2,9.95,339.2,0.0,Local Paper Trade (Simulated)
2026-04-16 10:55:46,EXIT,SENSEX,161.25,158.35,7.1,8.1,304.4,696.0,Local Paper Trade Closed
2026-04-16 10:56:49,ENTRY,SENSEX,152.5,175.0,6.9,9.15,311.45,0.0,Local Paper Trade (Simulated)
2026-04-16 11:43:21,EXIT,SENSEX,81.35,243.25,4.05,9.85,310.7,15.0,Local Paper Trade Closed
2026-04-16 11:44:23,ENTRY,SENSEX,155.65,162.35,6.75,7.75,303.5,0.0,Local Paper Trade (Simulated)
2026-04-16 12:14:54,EXIT,SENSEX,66.75,331.9,5.55,16.85,376.25,-1455.0,Local Paper Trade Closed
2026-04-16 12:31:01,ENTRY,NIFTY,196.1,198.2,10.2,9.6,374.5,0.0,Local Paper Trade (Simulated)
